ID,Sample,Ag,Pt,Au,BET,Mass_g,NP_size,Cov_rad,Elea,Elen,Ele_eq,Ion_E,Ion_rad,SSE,Abs_elen,Abs_hard,Ea,Vis,UVVis,Toxicity
1,0.1Pt,0,0.1,0,134.6,19.51,6.38,0.13,20.53,0.228,0.0505,87,0.094,0.2475,53.765,33.24,-1153.07,4.8,89.4,4.53
2,0.1Au,0,0,0.1,187.8,19.7,6.47,0.13,22.28,0.254,0.068,89.01,0.137,0.15,55.645,33.37,-1153.06,4,56.1,4.56
3,0.25Au,0,0,0.25,168.1,49.24,6.21,0.325,55.7,0.635,0.17,222.53,0.3425,0.375,139.115,83.41,-1153.05,6.8,54.1,4.62
27,0.5Ag_0.1Pt,0.5,0.1,0,161,73.44,11.27,0.81,83.33,1.193,0.6095,452.5,0.724,0.8725,267.915,184.59,-1153.02,7.9,68.5,4.64
4,0.25Au_0.25Pt,0,0.25,0.25,154.1,98.01,6.22,0.65,107.03,1.205,0.29625,440.03,0.5775,0.99375,273.53,166.5,-1153.03,6.4,83.7,4.66
6,0.25Pt,0,0.25,0,163.38,48.77,6.39,0.325,51.33,0.57,0.12625,217.5,0.235,0.61875,54.71,33.3,-1153.07,11.2,64.1,4.67
5,0.05Au_0.05Pt,0,0.05,0.05,164.97,19.6,6.48,0.13,21.41,0.241,0.05925,88.01,0.1155,0.19875,134.415,83.09,-1153.06,6.7,98.1,4.67
7,0.1Au_0.1Pt,0,0.1,0.1,190.59,39.21,5.97,0.26,42.81,0.482,0.1185,176.01,0.231,0.3975,547.05,333,-1152.99,12.6,76,4.68
28,0.5Au_0.5Pt,0,0.5,0.5,151.07,196.03,6.34,1.3,214.05,2.41,0.5925,880.05,1.155,1.9875,109.41,66.6,-1153.06,8,71.8,4.68
8,0.5Au_0.25Pt,0,0.25,0.5,153.48,147.25,5.11,0.975,162.73,1.84,0.46625,662.55,0.92,1.36875,412.64,249.91,-1153.01,12.7,71.7,4.7
9,0.1Au_0.25Pt,0,0.25,0.1,105,68.47,4.97,0.455,73.61,0.824,0.19425,306.51,0.372,0.76875,190.06,116.45,-1153.05,9.9,90.6,4.7
29,1.25Pt,0,1.25,0,152.1,243.86,5.65,1.625,256.63,2.85,0.63125,1087.5,1.175,3.09375,672.065,415.44,-1152.99,12.5,97,4.71
